"Police.Service","Period","Total.Cases","Firearm.Injuries","Firearm.Deaths","Custody.Injuries","Custody.Deaths","Vehicle.Injuries","Vehicle.Deaths","Sexual.Assault.Complaints","Other","Year","muniName","Population.2006","Population.2011","Pop.density"
"Espanola Police Service","2005-2006",0,NA,NA,NA,NA,NA,NA,NA,NA,2006,"Espanola","5,314","5,364","65.1"
"Essex Police Service","2013-2014",0,NA,NA,NA,NA,NA,NA,NA,NA,2014,"Essex","20,032","19,600","70.5"
"Essex Police Service","2012-2013",0,NA,NA,NA,NA,NA,NA,NA,NA,2013,"Essex","20,032","19,600","70.5"
"Essex Police Service","2011-2012",0,NA,NA,NA,NA,NA,NA,NA,NA,2012,"Essex","20,032","19,600","70.5"
"Essex Police Service","2010-2011",0,NA,NA,NA,NA,NA,NA,NA,NA,2011,"Essex","20,032","19,600","70.5"
"Essex Police Service","2009-2010",0,NA,NA,NA,NA,NA,NA,NA,NA,2010,"Essex","20,032","19,600","70.5"
"Essex Police Service","2008-2009",1,NA,NA,1,NA,NA,NA,NA,NA,2009,"Essex","20,032","19,600","70.5"
"Essex Police Service","2007-2008",0,NA,NA,NA,NA,NA,NA,NA,NA,2008,"Essex","20,032","19,600","70.5"
"Essex Police Service","2006-2007",0,NA,NA,NA,NA,NA,NA,NA,NA,2007,"Essex","20,032","19,600","70.5"
"Essex Police Service","2005-2006",0,NA,NA,NA,NA,NA,NA,NA,NA,2006,"Essex","20,032","19,600","70.5"
"Gananoque Police Service","2013-2014",1,NA,NA,NA,NA,1,NA,NA,NA,2014,"Gananoque","5,285","5,194","740.8"
"Gananoque Police Service","2012-2013",1,NA,NA,1,NA,NA,NA,NA,NA,2013,"Gananoque","5,285","5,194","740.8"
"Gananoque Police Service","2011-2012",1,NA,NA,1,NA,NA,NA,NA,NA,2012,"Gananoque","5,285","5,194","740.8"
"Gananoque Police Service","2010-2011",0,NA,NA,NA,NA,NA,NA,NA,NA,2011,"Gananoque","5,285","5,194","740.8"
"Gananoque Police Service","2009-2010",1,NA,NA,1,NA,NA,NA,NA,NA,2010,"Gananoque","5,285","5,194","740.8"
"Gananoque Police Service","2008-2009",0,NA,NA,NA,NA,NA,NA,NA,NA,2009,"Gananoque","5,285","5,194","740.8"
"Gananoque Police Service","2007-2008",0,NA,NA,NA,NA,NA,NA,NA,NA,2008,"Gananoque","5,285","5,194","740.8"
"Gananoque Police Service","2006-2007",0,NA,NA,NA,NA,NA,NA,NA,NA,2007,"Gananoque","5,285","5,194","740.8"
"Gananoque Police Service","2005-2006",0,NA,NA,NA,NA,NA,NA,NA,NA,2006,"Gananoque","5,285","5,194","740.8"
"Greater Sudbury Police Service","2013-2014",3,NA,NA,2,NA,1,NA,NA,NA,2014,"Greater Sudbury","157,857","160,274 ","49.7"
"Greater Sudbury Police Service","2012-2013",6,1,NA,4,NA,NA,NA,1,NA,2013,"Greater Sudbury","157,857","160,274 ","49.7"
"Greater Sudbury Police Service","2011-2012",2,NA,NA,1,NA,NA,NA,1,NA,2012,"Greater Sudbury","157,857","160,274 ","49.7"
"Greater Sudbury Police Service","2010-2011",3,NA,1,1,NA,1,NA,NA,NA,2011,"Greater Sudbury","157,857","160,274 ","49.7"
"Greater Sudbury Police Service","2009-2010",3,NA,NA,2,NA,1,NA,NA,NA,2010,"Greater Sudbury","157,857","160,274 ","49.7"
"Greater Sudbury Police Service","2008-2009",3,NA,NA,3,NA,NA,NA,NA,NA,2009,"Greater Sudbury","157,857","160,274 ","49.7"
